"id","text","url","type"
"1","红烧肉","https://www.douguo.com/caipu/%E7%BA%A2%E7%83%A7%E8%82%89","家常菜"
"2","可乐鸡翅","https://www.douguo.com/caipu/%E5%8F%AF%E4%B9%90%E9%B8%A1%E7%BF%85","家常菜"
"3","糖醋排骨","https://www.douguo.com/caipu/%E7%B3%96%E9%86%8B%E6%8E%92%E9%AA%A8","家常菜"
"4","鱼香肉丝","https://www.douguo.com/caipu/%E9%B1%BC%E9%A6%99%E8%82%89%E4%B8%9D","家常菜"
"5","红烧排骨","https://www.douguo.com/caipu/%E7%BA%A2%E7%83%A7%E6%8E%92%E9%AA%A8","家常菜"
"6","宫保鸡丁","https://www.douguo.com/caipu/%E5%AE%AB%E4%BF%9D%E9%B8%A1%E4%B8%81","家常菜"
"7","麻婆豆腐","https://www.douguo.com/caipu/%E9%BA%BB%E5%A9%86%E8%B1%86%E8%85%90","家常菜"
"8","清蒸鲈鱼","https://www.douguo.com/caipu/%E6%B8%85%E8%92%B8%E9%B2%88%E9%B1%BC","家常菜"
"9","酸菜鱼","https://www.douguo.com/caipu/%E9%85%B8%E8%8F%9C%E9%B1%BC","家常菜"
"10","汤","https://www.douguo.com/caipu/%E6%B1%A4","家常菜"
"11","西红柿炒鸡蛋","https://www.douguo.com/caipu/%E8%A5%BF%E7%BA%A2%E6%9F%BF%E7%82%92%E9%B8%A1%E8%9B%8B","下饭菜"
"12","家常菜","https://www.douguo.com/caipu/%E5%AE%B6%E5%B8%B8%E8%8F%9C","下饭菜"
"13","油焖大虾","https://www.douguo.com/caipu/%E6%B2%B9%E7%84%96%E5%A4%A7%E8%99%BE","下饭菜"
"14","下饭菜","https://www.douguo.com/caipu/%E4%B8%8B%E9%A5%AD%E8%8F%9C","下饭菜"
"15","水煮肉片","https://www.douguo.com/caipu/%E6%B0%B4%E7%85%AE%E8%82%89%E7%89%87","下饭菜"
"16","麻辣香锅","https://www.douguo.com/caipu/%E9%BA%BB%E8%BE%A3%E9%A6%99%E9%94%85","下饭菜"
"17","黄焖鸡","https://www.douguo.com/caipu/%E9%BB%84%E7%84%96%E9%B8%A1","下饭菜"
"18","糖醋里脊","https://www.douguo.com/caipu/%E7%B3%96%E9%86%8B%E9%87%8C%E8%84%8A","下饭菜"
"19","豆腐","https://www.douguo.com/caipu/%E8%B1%86%E8%85%90","下饭菜"
"20","回锅肉","https://www.douguo.com/caipu/%E5%9B%9E%E9%94%85%E8%82%89","快手菜"
"21","京酱肉丝","https://www.douguo.com/caipu/%E4%BA%AC%E9%85%B1%E8%82%89%E4%B8%9D","快手菜"
"22","酸辣土豆丝","https://www.douguo.com/caipu/%E9%85%B8%E8%BE%A3%E5%9C%9F%E8%B1%86%E4%B8%9D","快手菜"
"23","烤鸡翅","https://www.douguo.com/caipu/%E7%83%A4%E9%B8%A1%E7%BF%85","快手菜"
"24","地三鲜","https://www.douguo.com/caipu/%E5%9C%B0%E4%B8%89%E9%B2%9C","快手菜"
"25","大盘鸡","https://www.douguo.com/caipu/%E5%A4%A7%E7%9B%98%E9%B8%A1","快手菜"
"26","红烧鱼","https://www.douguo.com/caipu/%E7%BA%A2%E7%83%A7%E9%B1%BC","快手菜"
"27","红烧茄子","https://www.douguo.com/caipu/%E7%BA%A2%E7%83%A7%E8%8C%84%E5%AD%90","快手菜"
"28","辣子鸡","https://www.douguo.com/caipu/%E8%BE%A3%E5%AD%90%E9%B8%A1","快手菜"
"29","沙拉","https://www.douguo.com/caipu/%E6%B2%99%E6%8B%89","减肥食谱"
"30","薏米","https://www.douguo.com/caipu/%E8%96%8F%E7%B1%B3","减肥食谱"
"31","红豆","https://www.douguo.com/caipu/%E7%BA%A2%E8%B1%86","减肥食谱"
"32","芹菜","https://www.douguo.com/caipu/%E8%8A%B9%E8%8F%9C","减肥食谱"
"33","冬瓜","https://www.douguo.com/caipu/%E5%86%AC%E7%93%9C","减肥食谱"
"34","黄瓜","https://www.douguo.com/caipu/%E9%BB%84%E7%93%9C","减肥食谱"
"35","番茄","https://www.douguo.com/caipu/%E7%95%AA%E8%8C%84","减肥食谱"
"36","生菜","https://www.douguo.com/caipu/%E7%94%9F%E8%8F%9C","减肥食谱"
"37","西兰花","https://www.douguo.com/caipu/%E8%A5%BF%E5%85%B0%E8%8A%B1","减肥食谱"
"38","卷心菜","https://www.douguo.com/caipu/%E5%8D%B7%E5%BF%83%E8%8F%9C","减肥食谱"
"39","苦瓜","https://www.douguo.com/caipu/%E8%8B%A6%E7%93%9C","减肥食谱"
"40","零食","https://www.douguo.com/caipu/%E9%9B%B6%E9%A3%9F","场景"
"41","早餐","https://www.douguo.com/caipu/%E6%97%A9%E9%A4%90","场景"
"42","午餐","https://www.douguo.com/caipu/%E5%8D%88%E9%A4%90","场景"
"43","下午茶","https://www.douguo.com/caipu/%E4%B8%8B%E5%8D%88%E8%8C%B6","场景"
"44","晚餐","https://www.douguo.com/caipu/%E6%99%9A%E9%A4%90","场景"
"45","夜宵","https://www.douguo.com/caipu/%E5%A4%9C%E5%AE%B5","场景"
"46","一人食","https://www.douguo.com/caipu/%E4%B8%80%E4%BA%BA%E9%A3%9F","场景"
"47","二人世界","https://www.douguo.com/caipu/%E4%BA%8C%E4%BA%BA%E4%B8%96%E7%95%8C","场景"
"48","亲友聚餐","https://www.douguo.com/caipu/%E4%BA%B2%E5%8F%8B%E8%81%9A%E9%A4%90","场景"
"49","生日聚会","https://www.douguo.com/caipu/%E7%94%9F%E6%97%A5%E8%81%9A%E4%BC%9A","场景"
"50","户外野炊","https://www.douguo.com/caipu/%E6%88%B7%E5%A4%96%E9%87%8E%E7%82%8A","场景"
"51","高颜值","https://www.douguo.com/caipu/%E9%AB%98%E9%A2%9C%E5%80%BC","场景"
"91","茴香","https://www.douguo.com/caipu/%E8%8C%B4%E9%A6%99","绿叶蔬菜"
"90","芥菜","https://www.douguo.com/caipu/%E8%8A%A5%E8%8F%9C","绿叶蔬菜"
"89","韭黄","https://www.douguo.com/caipu/%E9%9F%AD%E9%BB%84","绿叶蔬菜"
"88","芦笋","https://www.douguo.com/caipu/%E8%8A%A6%E7%AC%8B","绿叶蔬菜"
"87","蒜苗","https://www.douguo.com/caipu/%E8%92%9C%E8%8B%97","绿叶蔬菜"
"86","茼蒿","https://www.douguo.com/caipu/%E8%8C%BC%E8%92%BF","绿叶蔬菜"
"85","小白菜","https://www.douguo.com/caipu/%E5%B0%8F%E7%99%BD%E8%8F%9C","绿叶蔬菜"
"84","卷心菜","https://www.douguo.com/caipu/%E5%8D%B7%E5%BF%83%E8%8F%9C","绿叶蔬菜"
"83","油麦菜","https://www.douguo.com/caipu/%E6%B2%B9%E9%BA%A6%E8%8F%9C","绿叶蔬菜"
"82","菜花","https://www.douguo.com/caipu/%E8%8F%9C%E8%8A%B1","绿叶蔬菜"
"81","生菜","https://www.douguo.com/caipu/%E7%94%9F%E8%8F%9C","绿叶蔬菜"
"80","莴笋","https://www.douguo.com/caipu/%E8%8E%B4%E7%AC%8B","绿叶蔬菜"
"78","芹菜","https://www.douguo.com/caipu/%E8%8A%B9%E8%8F%9C","绿叶蔬菜"
"79","娃娃菜","https://www.douguo.com/caipu/%E5%A8%83%E5%A8%83%E8%8F%9C","绿叶蔬菜"
"77","大白菜","https://www.douguo.com/caipu/%E5%A4%A7%E7%99%BD%E8%8F%9C","绿叶蔬菜"
"76","菠菜","https://www.douguo.com/caipu/%E8%8F%A0%E8%8F%9C","绿叶蔬菜"
"75","西兰花","https://www.douguo.com/caipu/%E8%A5%BF%E5%85%B0%E8%8A%B1","绿叶蔬菜"
"92","苦菊","https://www.douguo.com/caipu/%E8%8B%A6%E8%8F%8A","绿叶蔬菜"
"93","鸡毛菜","https://www.douguo.com/caipu/%E9%B8%A1%E6%AF%9B%E8%8F%9C","绿叶蔬菜"
"94","空心菜","https://www.douguo.com/caipu/%E7%A9%BA%E5%BF%83%E8%8F%9C","绿叶蔬菜"
"95","菜苔","https://www.douguo.com/caipu/%E8%8F%9C%E8%8B%94","绿叶蔬菜"
"96","冰草","https://www.douguo.com/caipu/%E5%86%B0%E8%8D%89","绿叶蔬菜"
"98","山药","https://www.douguo.com/caipu/%E5%B1%B1%E8%8D%AF","根茎蔬菜"
"99","白萝卜","https://www.douguo.com/caipu/%E7%99%BD%E8%90%9D%E5%8D%9C","根茎蔬菜"
"100","芋头","https://www.douguo.com/caipu/%E8%8A%8B%E5%A4%B4","根茎蔬菜"
"101","胡萝卜","https://www.douguo.com/caipu/%E8%83%A1%E8%90%9D%E5%8D%9C","根茎蔬菜"
"102","红薯","https://www.douguo.com/caipu/%E7%BA%A2%E8%96%AF","根茎蔬菜"
"103","莲藕","https://www.douguo.com/caipu/%E8%8E%B2%E8%97%95","根茎蔬菜"
"104","茭白","https://www.douguo.com/caipu/%E8%8C%AD%E7%99%BD","根茎蔬菜"
"105","芥菜头","https://www.douguo.com/caipu/%E8%8A%A5%E8%8F%9C%E5%A4%B4","根茎蔬菜"
"106","甜菜根","https://www.douguo.com/caipu/%E7%94%9C%E8%8F%9C%E6%A0%B9","根茎蔬菜"
"107","土豆","https://www.douguo.com/caipu/%E5%9C%9F%E8%B1%86","时令蔬菜"
"108","茄子","https://www.douguo.com/caipu/%E8%8C%84%E5%AD%90","时令蔬菜"
"109","菠菜","https://www.douguo.com/caipu/%E8%8F%A0%E8%8F%9C","时令蔬菜"
"110","西红柿","https://www.douguo.com/caipu/%E8%A5%BF%E7%BA%A2%E6%9F%BF","时令蔬菜"
"111","韭菜","https://www.douguo.com/caipu/%E9%9F%AD%E8%8F%9C","时令蔬菜"
"112","油菜","https://www.douguo.com/caipu/%E6%B2%B9%E8%8F%9C","时令蔬菜"
"113","紫菜","https://www.douguo.com/caipu/%E7%B4%AB%E8%8F%9C","时令蔬菜"
"114","春笋","https://www.douguo.com/caipu/%E6%98%A5%E7%AC%8B","时令蔬菜"
"115","香椿","https://www.douguo.com/caipu/%E9%A6%99%E6%A4%BF","时令蔬菜"
"116","金针菇","https://www.douguo.com/caipu/%E9%87%91%E9%92%88%E8%8F%87","菌类"
"117","杏鲍菇","https://www.douguo.com/caipu/%E6%9D%8F%E9%B2%8D%E8%8F%87","菌类"
"118","香菇","https://www.douguo.com/caipu/%E9%A6%99%E8%8F%87","菌类"
"119","平菇","https://www.douguo.com/caipu/%E5%B9%B3%E8%8F%87","菌类"
"120","木耳","https://www.douguo.com/caipu/%E6%9C%A8%E8%80%B3","菌类"
"121","白玉菇","https://www.douguo.com/caipu/%E7%99%BD%E7%8E%89%E8%8F%87","菌类"
"122","银耳","https://www.douguo.com/caipu/%E9%93%B6%E8%80%B3","菌类"
"123","猴头菇","https://www.douguo.com/caipu/%E7%8C%B4%E5%A4%B4%E8%8F%87","菌类"
"124","松茸","https://www.douguo.com/caipu/%E6%9D%BE%E8%8C%B8","菌类"
"125","茶树菇","https://www.douguo.com/caipu/%E8%8C%B6%E6%A0%91%E8%8F%87","菌类"
"126","虫草花","https://www.douguo.com/caipu/%E8%99%AB%E8%8D%89%E8%8A%B1","菌类"
"127","白口蘑","https://www.douguo.com/caipu/%E7%99%BD%E5%8F%A3%E8%98%91","菌类"
"128","滑子菇","https://www.douguo.com/caipu/%E6%BB%91%E5%AD%90%E8%8F%87","菌类"
"129","牛肝菌","https://www.douguo.com/caipu/%E7%89%9B%E8%82%9D%E8%8F%8C","菌类"
"130","黄蘑","https://www.douguo.com/caipu/%E9%BB%84%E8%98%91","菌类"
"131","元蘑","https://www.douguo.com/caipu/%E5%85%83%E8%98%91","菌类"
"132","白灵菇","https://www.douguo.com/caipu/%E7%99%BD%E7%81%B5%E8%8F%87","菌类"
"133","南瓜","https://www.douguo.com/caipu/%E5%8D%97%E7%93%9C","瓜类"
"134","冬瓜","https://www.douguo.com/caipu/%E5%86%AC%E7%93%9C","瓜类"
"135","黄瓜","https://www.douguo.com/caipu/%E9%BB%84%E7%93%9C","瓜类"
"136","西葫芦","https://www.douguo.com/caipu/%E8%A5%BF%E8%91%AB%E8%8A%A6","瓜类"
"137","佛手瓜","https://www.douguo.com/caipu/%E4%BD%9B%E6%89%8B%E7%93%9C","瓜类"
"138","苦瓜","https://www.douguo.com/caipu/%E8%8B%A6%E7%93%9C","瓜类"
"139","丝瓜","https://www.douguo.com/caipu/%E4%B8%9D%E7%93%9C","瓜类"
"140","豆角","https://www.douguo.com/caipu/%E8%B1%86%E8%A7%92","豆科"
"141","豆芽","https://www.douguo.com/caipu/%E8%B1%86%E8%8A%BD","豆科"
"142","四季豆","https://www.douguo.com/caipu/%E5%9B%9B%E5%AD%A3%E8%B1%86","豆科"
"143","豌豆","https://www.douguo.com/caipu/%E8%B1%8C%E8%B1%86","豆科"
"144","毛豆","https://www.douguo.com/caipu/%E6%AF%9B%E8%B1%86","豆科"
"145","黄豆芽","https://www.douguo.com/caipu/%E9%BB%84%E8%B1%86%E8%8A%BD","豆科"
"146","豇豆","https://www.douguo.com/caipu/%E8%B1%87%E8%B1%86","豆科"
"147","绿豆芽","https://www.douguo.com/caipu/%E7%BB%BF%E8%B1%86%E8%8A%BD","豆科"
"148","扁豆","https://www.douguo.com/caipu/%E6%89%81%E8%B1%86","豆科"
"149","芸豆","https://www.douguo.com/caipu/%E8%8A%B8%E8%B1%86","豆科"
"150","蚕豆","https://www.douguo.com/caipu/%E8%9A%95%E8%B1%86","豆科"
"151","刀豆","https://www.douguo.com/caipu/%E5%88%80%E8%B1%86","豆科"
"152","排骨","https://www.douguo.com/caipu/%E6%8E%92%E9%AA%A8","猪肉"
"153","五花肉","https://www.douguo.com/caipu/%E4%BA%94%E8%8A%B1%E8%82%89","猪肉"
"154","瘦肉","https://www.douguo.com/caipu/%E7%98%A6%E8%82%89","猪肉"
"155","猪蹄","https://www.douguo.com/caipu/%E7%8C%AA%E8%B9%84","猪肉"
"156","猪肝","https://www.douguo.com/caipu/%E7%8C%AA%E8%82%9D","猪肉"
"157","腊肉","https://www.douguo.com/caipu/%E8%85%8A%E8%82%89","猪肉"
"158","香肠","https://www.douguo.com/caipu/%E9%A6%99%E8%82%A0","猪肉"
"159","猪肚","https://www.douguo.com/caipu/%E7%8C%AA%E8%82%9A","猪肉"
"160","里脊","https://www.douguo.com/caipu/%E9%87%8C%E8%84%8A","猪肉"
"161","猪血","https://www.douguo.com/caipu/%E7%8C%AA%E8%A1%80","猪肉"
"162","肥肠","https://www.douguo.com/caipu/%E8%82%A5%E8%82%A0","猪肉"
"163","午餐肉","https://www.douguo.com/caipu/%E5%8D%88%E9%A4%90%E8%82%89","猪肉"
"164","火腿","https://www.douguo.com/caipu/%E7%81%AB%E8%85%BF","猪肉"
"165","肉松","https://www.douguo.com/caipu/%E8%82%89%E6%9D%BE","猪肉"
"166","猪心","https://www.douguo.com/caipu/%E7%8C%AA%E5%BF%83","猪肉"
"167","猪皮","https://www.douguo.com/caipu/%E7%8C%AA%E7%9A%AE","猪肉"
"168","猪腰","https://www.douguo.com/caipu/%E7%8C%AA%E8%85%B0","猪肉"
"169","猪耳朵","https://www.douguo.com/caipu/%E7%8C%AA%E8%80%B3%E6%9C%B5","猪肉"
"170","咸肉","https://www.douguo.com/caipu/%E5%92%B8%E8%82%89","猪肉"
"171","猪骨","https://www.douguo.com/caipu/%E7%8C%AA%E9%AA%A8","猪肉"
"172","叉烧肉","https://www.douguo.com/caipu/%E5%8F%89%E7%83%A7%E8%82%89","猪肉"
"173","肉馅","https://www.douguo.com/caipu/%E8%82%89%E9%A6%85","猪肉"
"174","肥肉","https://www.douguo.com/caipu/%E8%82%A5%E8%82%89","猪肉"
"175","猪肘","https://www.douguo.com/caipu/%E7%8C%AA%E8%82%98","猪肉"
"176","猪肺","https://www.douguo.com/caipu/%E7%8C%AA%E8%82%BA","猪肉"
"177","熏肉","https://www.douguo.com/caipu/%E7%86%8F%E8%82%89","猪肉"
