"id","title","pirce","img","num","con"
"1","卡士烤箱 可发酵+解冻+60L大容量电烤箱CO-560A","￥798.00","https://cp1.douguo.com/upload/tuan/6/1/7/448_61cc84dea5212f2e2d5f0d8dbe74ecd7.jpeg","月售52","https://www.douguo.com/mall/item/39087"
"2","【顺丰包邮】正宗赣南脐橙 带箱10斤 特大果果径90mm+","￥45.90","https://cp1.douguo.com/upload/tuan/d/5/3/448_d541c338e7447a64e8e6e1b0ab91af53.png","月售273","https://www.douguo.com/mall/item/39277"
"3","安特鲁七哥 葡式蛋挞皮半成品45个装","￥16.80","https://cp1.douguo.com/upload/tuan/9/7/4/448_97044d9b520830524332f7a882c1b2c4.jpg","月售791","https://www.douguo.com/mall/item/26797"
"4","新疆特产2020新货巴旦木奶酪枣网红爆款酥脆饱满","￥19.90","https://cp1.douguo.com/upload/tuan/a/4/d/448_a49f530b245e5dbe5daa519c5b2df35d.jpg","月售52","https://www.douguo.com/mall/item/39393"
"5","【买一送一】淘小元 零化学添加山楂块 ","￥9.90","https://cp1.douguo.com/upload/tuan/e/7/8/448_e7fc67c5e8eb17a214791e189ea98478.jpg","月售85","https://www.douguo.com/mall/item/39302"
"6","匠小味 广式鸭润腊肠 鸭肝肠500g","￥68.00","https://cp1.douguo.com/upload/tuan/1/c/4/448_1c2b81515c2cb378d37008540455b9c4.jpg","月售1","https://www.douguo.com/mall/item/38177"
"7","【买2件减10元】云娘食记 黑谷羹400g","￥36.90","https://cp1.douguo.com/upload/tuan/8/9/5/448_8978aeb0028b4a3d00cf26f399d24355.jpg","月售5952","https://www.douguo.com/mall/item/26801"
"8","舒可曼 小粒黄冰糖 1kg","￥21.80","https://cp1.douguo.com/upload/tuan/9/1/5/448_912fbf95eb7e1eff56143f98c3f442a5.jpg","月售2","https://www.douguo.com/mall/item/39125"
"9","东北农家玉米碴2斤（真空包装）","￥9.90","https://cp1.douguo.com/upload/tuan/d/3/1/448_d3e28255de3e61f0ab8db96e19da5791.jpg","月售61","https://www.douguo.com/mall/item/39279"
"10","舒可曼 烘焙细砂糖 400g*4包","￥29.90","https://cp1.douguo.com/upload/tuan/e/9/2/448_e93e39d80b599260e92179c38e02c2f2.jpg","月售59","https://www.douguo.com/mall/item/39237"
"11","【限量200份】初蕴 精选优质黑小米400g*3","￥49.80","https://cp1.douguo.com/upload/tuan/9/5/a/448_9520be40ea2506626e52e4f1c30ed31a.jpg","月售928","https://www.douguo.com/mall/item/26289"
"12","安琪高活性干酵母5g*20袋（生产日期：20年6月至今）","￥11.11","https://cp1.douguo.com/upload/tuan/1/7/4/448_17a1e54a52379a0d8d9a6c5192a131e4.jpg","月售54","https://www.douguo.com/mall/item/38748"
"13","顶焙良品 软白蛋糕粉 1kg","￥26.00","https://cp1.douguo.com/upload/tuan/4/f/d/448_4f5968865f3e0051e4aab69e2092d97d.jpg","月售2","https://www.douguo.com/mall/item/38706"
"14","燕之坊 素说幸福熟黑芝麻粒210g  ","￥36.00","https://cp1.douguo.com/upload/tuan/6/d/c/448_6d3b5b53632a87912e022d52db13442c.png","月售861","https://www.douguo.com/mall/item/34948"
"15","百菲酪 水牛奶纯牛奶200ml*12盒","￥58.00","https://cp1.douguo.com/upload/tuan/3/a/c/448_3aa3fc7736e2b632741248f8e687ef0c.jpg","月售82","https://www.douguo.com/mall/item/39037"
"16","金龙鱼优+澳麦鲜鸡蛋挂面200g*10袋","￥25.90","https://cp1.douguo.com/upload/tuan/2/6/8/448_26c752c2f651bba8b064f4d4d323b098.jpg","月售44","https://www.douguo.com/mall/item/35947"
"17","【限量50份】乡诉 玫瑰素饼 500g/盒 滇式纯手工糕点鲜花饼","￥25.00","https://cp1.douguo.com/upload/tuan/8/d/6/448_8d3938e794704f9f5dc4918ee7a1a4a6.jpg","月售363","https://www.douguo.com/mall/item/28438"
