"id","img","text","type"
"1","http://i1.douguo.net//upload/shicai/1445929411.jpg","猪肉","猪"
"2","http://i1.douguo.net//upload/shicai/1445843857.png","排骨","猪"
"3","http://i1.douguo.net//upload/shicai/1445932142.jpg","五花肉","猪"
"4","http://i1.douguo.net//upload/shicai/1445843716.jpg","火腿","猪"
"5","http://i1.douguo.net//upload/shicai/1445843227.jpg","里脊","猪"
"6","http://i1.douguo.net//upload/shicai/1445929438.jpg","猪蹄","猪"
"7","http://i1.douguo.net//upload/shicai/1445929281.jpg","猪肚","猪"
"8","http://i1.douguo.net//upload/shicai/1445929360.jpg","猪肝","猪"
"9","http://i1.douguo.net//upload/shicai/1445929074.jpg","肥肠","猪"
"10","http://i1.douguo.net//upload/shicai/1445929531.jpg","猪腰","猪"
"11",,,"猪"
"12","http://i1.douguo.net//upload/shicai/1445843451.jpg","牛排","牛"
"13","http://i1.douguo.net//upload/shicai/1445843423.jpg","牛腩","牛"
"14","http://i1.douguo.net//upload/shicai/1445843258.jpg","肥牛","牛"
"15","http://i1.douguo.net/upload/shicai/1374459524.jpg","百叶","牛"
"16","http://i1.douguo.net//upload/shicai/1445843513.jpg","牛蹄筋","牛"
"17","http://i1.douguo.net//upload/shicai/1445843380.jpg","牛肚","牛"
"18","http://i1.douguo.net//upload/shicai/1445843401.jpg","牛里脊","牛"
"19","http://i1.douguo.net//upload/shicai/1445843630.jpg","牛尾","牛"
"20","http://i1.douguo.net//upload/shicai/1445843671.jpg","牛心","牛"
"21",,,"牛"
"22","http://i1.douguo.net//upload/shicai/1445928509.jpg","羊肉","羊"
"23","http://i1.douguo.net//upload/shicai/1445928475.jpg","羊排","羊"
"24","http://i1.douguo.net//upload/shicai/1445928401.jpg","羊后腿","羊"
"25","http://i1.douguo.net//upload/shicai/1445928441.jpg","羊里脊","羊"
"26","http://i1.douguo.net//upload/shicai/1445928330.jpg","羊肝","羊"
"27","http://i1.douguo.net//upload/shicai/1445928568.jpg","羊蝎子","羊"
"28","http://i1.douguo.net//upload/shicai/1445928608.jpg","羊腰","羊"
"29","http://i1.douguo.net//upload/shicai/1445928294.jpg","羊肚","羊"
"30","http://i1.douguo.net//upload/shicai/1445928367.jpg","羊骨","羊"
"31","http://i1.douguo.net//upload/shicai/1445928543.jpg","羊腿","羊"
"32",,,"羊"
"33","http://i1.douguo.net//upload/shicai/1445843757.jpg","鸡肉","鸡"
"34","http://i1.douguo.net//upload/shicai/1445843794.jpg","鸡胸","鸡"
"35","http://i1.douguo.net//upload/shicai/1445843775.jpg","鸡腿","鸡"
"36","http://i1.douguo.net//upload/shicai/1445843734.jpg","鸡翅","鸡"
"37","http://i1.douguo.net/upload/baike/23/peh_z.jpg","鸡爪","鸡"
"38","http://i1.douguo.net//upload/shicai/1445843826.jpg","鸡胗","鸡"
"39","http://i1.douguo.net//upload/shicai/1445843692.jpg","火鸡","鸡"
"40","http://i1.douguo.net//upload/shicai/1446108189.jpg","鸡心","鸡"
"41","http://i1.douguo.net//upload/shicai/1446108146.jpg","鸡肝","鸡"
"42","http://i1.douguo.net//upload/shicai/1446101135.jpg","仔鸡","鸡"
"43",,,"鸡"
"44","http://i1.douguo.net//upload/shicai/1446095983.jpg","鸭肉","鸭"
"45","http://i1.douguo.net//upload/shicai/1446095996.jpg","鸭腿","鸭"
"46","http://i1.douguo.net//upload/shicai/1446096040.jpg","鸭血","鸭"
